title,author,publisher,publication_date,discount,price,url
普通人的海外求職指南：不必留學，也能讓國際工作主動找上你,謝宗廷,圓神,2022-05-01,79,252,https://www.books.com.tw/products/0010922490?loc=P_0005_059
日本第一女公關的人際溝通術：不靠靈巧也能創造億萬業績的祕密,Enrike（小川愛莉）,圓神,2022-04-01,79,252,https://www.books.com.tw/products/0010920068?loc=P_0005_060
意念使用手冊：瞬間改變時間和空間的量子習慣,村松大輔,圓神,2022-04-01,79,244,https://www.books.com.tw/products/0010920075?loc=P_0005_061
先行者：名醫劉偉民逆流而上的人生,劉偉民,圓神,2022-03-01,9,270,https://www.books.com.tw/products/0010917123?loc=P_0005_062
塗鴉吧!用視覺模板翻轉人生：6種框架x4個步驟，學習、工作、時間管理全搞定,邱奕霖,圓神,2022-03-01,79,292,https://www.books.com.tw/products/0010917161?loc=P_0005_063
ROLAND‧羅蘭【日本第一男公關‧漫畫二部曲】(全2冊不分售),"ROLAND,井上紀良",圓神,2022-02-01,75,495,https://www.books.com.tw/products/0010914233?loc=P_0005_064
高度狂熱【推理大師橫山秀夫․經典重譯珍藏版】,橫山秀夫,圓神,2022-02-01,9,378,https://www.books.com.tw/products/0010914263?loc=P_0005_065
脫癮而出不迷網：寫給網路原生世代父母的教養書,陳志恆,圓神,2022-01-01,79,252,https://www.books.com.tw/products/0010911530?loc=P_0005_066
傻瓜一直在路上：生命的練習曲,"曲全立,趙文豪",圓神,2022-01-01,9,342,https://www.books.com.tw/products/0010911546?loc=P_0005_067
微胖生存學：別讓體重決定妳的美,波痞,圓神,2021-12-01,9,333,https://www.books.com.tw/products/0010909075?loc=P_0005_068
萬事皆美好：讓無數希臘人感受幸福的禮物書,史戴凡諾斯．詹內奇斯,圓神,2021-12-01,9,279,https://www.books.com.tw/products/0010909077?loc=P_0005_069
別哭，切諾比,陳昇,圓神,2021-11-03,9,441,https://www.books.com.tw/products/0010906188?loc=P_0005_070
開心嗎?麗春,陳昇,圓神,2021-11-03,9,441,https://www.books.com.tw/products/0010906209?loc=P_0005_071
爸爸媽媽，請你看見我!,蔡沅達,圓神,2021-11-01,9,270,https://www.books.com.tw/products/0010906208?loc=P_0005_072
為什麼大家都來問我?只因受苦的人想得更透徹,幡野廣志,圓神,2021-11-01,9,288,https://www.books.com.tw/products/0010906214?loc=P_0005_073
氤氳之城【當代最受歡迎西班牙作家薩豐，獻給書迷的告別故事集】,卡洛斯．魯依斯．薩豐,圓神,2021-10-01,9,324,https://www.books.com.tw/products/0010903352?loc=P_0005_074
同姓同名,下村敦史,圓神,2021-10-01,9,360,https://www.books.com.tw/products/0010903339?loc=P_0005_075
