attr,cate,rank,title,author,price,page,date,type,discount,price_
7,,81,幫助每個孩子學習：用大腦喜歡的方式啟發動能，孩子開竅、爸媽不累，雅麗老師的減壓高效邏輯讀書法,陳雅麗,優惠價：79折300元,tops,2024-08-05 11:41:08,topsales,79,300
7,,82,溫熱的銀蓮花5【首刷附錄版】,櫻木蓮,優惠價：9折171元,tops,2024-08-05 11:41:08,topsales,9,171
7,,83,再見繪梨 全,藤本樹,優惠價：85折93元,tops,2024-08-05 11:41:08,topsales,85,93
7,,84,神樂鉢 1 (首刷限定版),外薗健,優惠價：85折123元,tops,2024-08-05 11:41:08,topsales,85,123
7,,85,想看妳露出羞恥的模樣 8 (首刷限定版),甜米RAKURE,優惠價：85折221元,tops,2024-08-05 11:41:08,topsales,85,221
7,,86,出包王女 危險的閨房私語 (全),"矢吹健太朗光,長谷見沙貴",優惠價：85折161元,tops,2024-08-05 11:41:08,topsales,85,161
7,,87,催眠式銷售‧17週年暢銷增訂版：不著痕跡改變顧客的認知，成交率最強的銷售方程式,張世輝,優惠價：7折280元,tops,2024-08-05 11:41:08,topsales,7,280
7,,88,兄妹（下）,晨羽,優惠價：79折268元,tops,2024-08-05 11:41:08,topsales,79,268
7,,89,幫助每個孩子學習：實戰篇：雅麗老師的「三把刀高分祕技」！一～九年級 國、數、英、社、自，學科+寫作一點通,陳雅麗,優惠價：79折331元,tops,2024-08-05 11:41:08,topsales,79,331
7,,90,最新！新制多益TOEIC聽力／閱讀題庫解析【博客來獨家套書】：最新收錄精準 10 回模擬試題！完整反映命題趨勢、大幅提升應考能力！（附2 MP3光碟＋音檔下載QR碼）,Hackers Academia,優惠價：7折1232元,tops,2024-08-05 11:41:08,topsales,7,1232
7,,91,不便利的便利店,金浩然,優惠價：79折316元,tops,2024-08-05 11:41:08,topsales,79,316
7,,92,異世界歸來的舅舅 (10),殆ど死んでいる,優惠價：79折118元,tops,2024-08-05 11:41:08,topsales,79,118
7,,93,那本書是【博客來獨家吊飾版】：芥川賞得主×人氣繪本作家，獻給愛書人的究極之書（附首刷限定燙金藏書票）,"又吉直樹,吉竹伸介",優惠價：79折315元,tops,2024-08-05 11:41:08,topsales,79,315
7,,94,中年之路：穿越幽暗，迎向完整的內在鍊金之旅,詹姆斯．霍利斯,優惠價：79折379元,tops,2024-08-05 11:41:08,topsales,79,379
7,,95,排球少年 45完,古舘春一,優惠價：85折93元,tops,2024-08-05 11:41:08,topsales,85,93
7,,96,86─不存在的戰區─(Ep.13) ─Dear hunter─,"安里アサト,I-IV",優惠價：79折221元,tops,2024-08-05 11:41:08,topsales,79,221
7,,97,情緒大飯店,莉迪亞．布蘭科維琪,優惠價：79折276元,tops,2024-08-05 11:41:08,topsales,79,276
7,,98,城隍．賽米絲物語 1【博客來獨家．作者親簽版】,蒼葵,優惠價：79折260元,tops,2024-08-05 11:41:08,topsales,79,260
7,,99,青春期女孩身體的祕密．生理心理知識成長書：木生婦產科護理師100%專業信賴給父母最放心的性教育，陪伴走過生理發育和心靈成長，女孩自愛有自信,陳文晴,優惠價：7折210元,tops,2024-08-05 11:41:08,topsales,7,210
7,01,0,水豚工讀生（博客來獨家限量簽名版）,連俞涵,優惠價：79折355元,tops,2024-08-05 11:41:13,topsales,79,355
7,01,1,讀懂古人的痛，就能跳過現代的坑：史上最潮的國學經典,林俐君（綠君麻麻）,優惠價：79折339元,tops,2024-08-05 11:41:13,topsales,79,339
7,01,2,你是時光最美好的遇見：加筆萬字，經典再現《你是時光最浪漫的解藥》的念念與不忘【親筆簽名版/附獨家燙印藏書紀念卡】,蘇乙笙,優惠價：79折299元,tops,2024-08-05 11:41:13,topsales,79,299
7,01,3,心聲販賣所【親筆簽名版】,Misa,優惠價：79折252元,tops,2024-08-05 11:41:13,topsales,79,252
7,01,4,餘溫,雪倫,優惠價：79折260元,tops,2024-08-05 11:41:13,topsales,79,260
7,01,5,間諜海岸（博客來獨家版）,泰絲．格里森,優惠價：79折410元,tops,2024-08-05 11:41:13,topsales,79,410
7,01,6,兄妹（下）,晨羽,優惠價：79折268元,tops,2024-08-05 11:41:13,topsales,79,268
7,01,7,不便利的便利店,金浩然,優惠價：79折316元,tops,2024-08-05 11:41:13,topsales,79,316
7,01,8,那本書是【博客來獨家吊飾版】：芥川賞得主×人氣繪本作家，獻給愛書人的究極之書（附首刷限定燙金藏書票）,"又吉直樹,吉竹伸介",優惠價：79折315元,tops,2024-08-05 11:41:13,topsales,79,315
7,01,9,謊言裡的魔術師【博客來獨家覺醒版】：《迷宮裡的魔術師》系列第2彈！系列銷售累計突破70萬冊！,東野圭吾,優惠價：79折379元,tops,2024-08-05 11:41:13,topsales,79,379
7,01,10,噬夢童話：史蒂芬．金最駭人的恐懼異境！,史蒂芬．金,優惠價：499元,tops,2024-08-05 11:41:13,topsales,,499
7,01,11,侑美與夢魘繪師（邪惡奇幻天才大神超凡驚豔震撼全球祕密計畫，限量典藏豪華全彩精裝版，隨書附贈燙金藏書票「夢中的你」）,布蘭登．山德森,優惠價：79折552元,tops,2024-08-05 11:41:13,topsales,79,552
7,01,12,深夜食堂28,安倍夜郎,優惠價：79折189元,tops,2024-08-05 11:41:13,topsales,79,189
7,01,13,帶外婆公主去倫敦！,椹野道流,優惠價：79折331元,tops,2024-08-05 11:41:13,topsales,79,331
7,01,14,帶著故鄉行走（限量親簽版）,吳俞萱,優惠價：79折355元,tops,2024-08-05 11:41:13,topsales,79,355
7,01,15,夏日的檸檬草【電影書衣版】,瑪琪朵,優惠價：79折315元,tops,2024-08-05 11:41:13,topsales,79,315
7,01,16,我想亂七你的芭蕉【隨書附贈PVC十八公分大香蕉量尺】（博客來獨家唇印親簽版）,亂七芭蕉,優惠價：79折300元,tops,2024-08-05 11:41:13,topsales,79,300
7,01,17,不便利的便利店2,金浩然,優惠價：79折331元,tops,2024-08-05 11:41:13,topsales,79,331
7,01,18,777（布萊德彼特主演好萊塢動作大片《子彈列車》原著‧最新續集）,伊坂幸太郎,優惠價：79折339元,tops,2024-08-05 11:41:13,topsales,79,339
7,01,19,傾城之戀【張愛玲百歲誕辰紀念版】：短篇小說集一　1943年,張愛玲,優惠價：79折252元,tops,2024-08-05 11:41:13,topsales,79,252
7,01,20,流浪者之歌／悉達多：赫曼．赫塞傳世之作，出版100週年紀念版【歌德金質獎章譯者典藏譯本】,赫曼．赫塞,優惠價：79折284元,tops,2024-08-05 11:41:13,topsales,79,284
7,01,21,厭世說新語【圖章親簽版＋「寧作我」勇者首刷限量貼紙】：天生我材必有用，勇者不必鬥惡龍,厭世國文老師,優惠價：79折292元,tops,2024-08-05 11:41:13,topsales,79,292
7,01,22,解憂雜貨店【暖心紀念版】,東野圭吾,優惠價：79折276元,tops,2024-08-05 11:41:13,topsales,79,276
