title,author,publisher,publication_date,discount,price
節慶與預感【蜜蜂與遠雷‧沒說完的故事】 (電子書),恩田陸,圓神,2020-06-01,,217
劍魂如初3：惟願星辰 (電子書),懷觀,圓神,2020-05-01,,224
當最親的人成為傷痕 (電子書),黃之盈,圓神,2020-05-01,,224
所謂時間管理，就是選擇性放棄：上萬人成功驗證，時間規畫師的八大精簡法則 (電子書),少毅,圓神,2020-05-01,,182
所謂時間管理，就是選擇性放棄：上萬人成功驗證，時間規畫師的八大精簡法則,少毅,圓神,2020-05-01,9,234
當最親的人成為傷痕,黃之盈,圓神,2020-05-01,79,252
劍魂如初3：惟願星辰,懷觀,圓神,2020-05-01,79,252
比鬼故事更可怕的是你我身邊的故事,少女老王,圓神,2020-04-01,79,260
暖和和手套國,小川糸,圓神,2020-04-01,9,324
比鬼故事更可怕的是你我身邊的故事 (電子書),少女老王,圓神,2020-04-01,,231
暖和和手套國 (電子書),小川糸,圓神,2020-04-01,,250
人生就求一次如魚得水：紐約金獎插畫家的自由生活提案,Cinyee Chiu,圓神,2020-03-01,66,244
島嶼來信：我能說的祕密,陶立夏,圓神,2020-03-01,9,324
人生就求一次如魚得水：紐約金獎插畫家的自由生活提案 (電子書),Cinyee Chiu,圓神,2020-03-01,,259
島嶼來信：我能說的祕密 (電子書),陶立夏,圓神,2020-03-01,,250
雖然苦，還是想活成令人羨慕的樣子：那些在都會流淚築夢的女子們 (電子書),王欣,圓神,2020-02-01,,245
印度諸神皆有戲：神魔、變身、情慾、戰鬥、創造、破壞的創意源頭 (電子書),天竺奇譚,圓神,2020-02-01,,203
打造繁盛江戶的男人,門井慶喜,圓神,2020-02-01,9,342
印度諸神皆有戲：神魔、變身、情慾、戰鬥、創造、破壞的創意源頭,天竺奇譚,圓神,2020-02-01,9,261
雖然苦，還是想活成令人羨慕的樣子：那些在都會流淚築夢的女子們,王欣,圓神,2020-02-01,9,315
你想在凌晨三點聽見誰的晚安 (電子書),3am.talk,圓神,2020-01-01,,245
重逢咖啡館 (電子書),鄭華娟,圓神,2020-01-01,,203
不只是旅行,黃麗穗,圓神,2020-01-01,9,306
你想在凌晨三點聽見誰的晚安,3am.talk,圓神,2020-01-01,9,315
重逢咖啡館,鄭華娟,圓神,2020-01-01,9,261
蜜蜂與遠雷,恩田陸,圓神,2020-01-01,79,394
二十一,陶晶瑩,圓神,2019-12-05,79,292
二十一【電子書獨家‧陶晶瑩親聲朗讀】 (電子書),陶晶瑩,圓神,2019-12-05,,259
魚夫人間味：邊吃邊說四十年,魚夫,圓神,2019-12-01,7,238
魚夫人間味：邊吃邊說四十年 (電子書),魚夫,圓神,2019-12-01,,238
愛呆西非連加恩【愛的接力版】 (電子書),連加恩,圓神,2019-11-01,,238
