title,author,publisher,publication_date,discount,price
怎麼就邊緣了呢?：肉蟻的歷史邊緣人檔案【加贈「一席之地」書角書籤】,肉蟻小姐,究竟,2021-09-01,9,387
寫給每個人的書法課：從看懂到會寫，提升素養與美學力,林曦,究竟,2021-09-01,9,378
怎麼就邊緣了呢?：肉蟻的歷史邊緣人檔案 (電子書),肉蟻小姐,究竟,2021-09-01,,301
寫給每個人的書法課：從看懂到會寫，提升素養與美學力 (電子書),林曦,究竟,2021-09-01,,294
人生關鍵字：僧侶、醫師與哲學家的智慧探索,"亞歷山大．喬連安,克里斯多福．安得烈,馬修．李卡德",究竟,2021-08-01,9,378
人生關鍵字：僧侶、醫師與哲學家的智慧探索 (電子書),"亞歷山大．喬連安,克里斯多福．安得烈,馬修．李卡德",究竟,2021-08-01,,294
一日如一生的愛,Charles,究竟,2021-08-01,9,333
一日如一生的愛 (電子書),Charles,究竟,2021-08-01,,259
駭客思維：抓出生活中的不合理，優化你的人生,小約瑟夫．雷格爾,究竟,2021-07-01,9,324
思考整理學：最多東大生、京大生讀過的一本書!,外山滋比古,究竟,2021-07-01,9,288
駭客思維：抓出生活中的不合理，優化你的人生 (電子書),小約瑟夫．雷格爾,究竟,2021-07-01,,250
思考整理學：最多東大生、京大生讀過的一本書! (電子書),外山滋比古,究竟,2021-07-01,,224
清理你的心理雜訊：10個降噪練習，使你不再自卑、自責、自憐,山根洋士,究竟,2021-06-01,79,244
清理你的心理雜訊：10個降噪練習，使你不再自卑、自責、自憐 (電子書),山根洋士,究竟,2021-06-01,,217
鬼滅之刃心理學：打造強韌內在的38個法則,井島由佳,究竟,2021-05-01,9,252
鬼滅之刃心理學：打造強韌內在的38個法則 (電子書),井島由佳,究竟,2021-05-01,,196
半神：安住亂世、活出神性的30個生命基礎課,熊仁謙,究竟,2021-04-23,9,270
半神：安住亂世、活出神性的30個生命基礎課 (電子書),熊仁謙,究竟,2021-04-23,,210
信任溝通：全球頂尖心理學家解讀人心的四種方法,"勞倫斯．艾利森,愛蜜麗．艾利森",究竟,2021-04-01,9,351
信任溝通：全球頂尖心理學家解讀人心的四種方法 (電子書),"勞倫斯．艾利森,愛蜜麗．艾利森",究竟,2021-04-01,,273
