title,author,publisher,publication_date,discount,price
個人品牌獲利：自媒體經營的五大關鍵變現思維,李洛克,如何,2020-12-01,79,316
個人品牌獲利：自媒體經營的五大關鍵變現思維 (電子書),李洛克,如何,2020-12-01,88,246
啟動身體的抗老系統：從破壞模式切換到修復模式，享受無病生活 (電子書),陳俊旭,如何,2020-11-01,,231
啟動身體的抗老系統：從破壞模式切換到修復模式，享受無病生活,陳俊旭,如何,2020-11-01,79,260
全民好聲音：嗓音治療天團幫你找回悅耳美聲!,"林峯全,王棨德",如何,2020-11-01,9,306
看人的本事：說話前先讀懂對方想聽什麼，建立好關係 (電子書),盧文建,如何,2020-10-01,,203
AI驗證!最強PPT製作法：照做就對了!提案成功率94% (電子書),越川慎司,如何,2020-10-01,,210
看人的本事：說話前先讀懂對方想聽什麼，建立好關係,盧文建,如何,2020-10-01,7,203
AI驗證!最強PPT製作法：照做就對了!提案成功率94%,越川慎司,如何,2020-10-01,66,198
蔡康永的說話之道(500萬冊紀念版),蔡康永,如何,2020-09-01,79,284
屍速英語：活用30個學過的基本動詞，職場英語嚇嚇叫! (電子書),"KAWASEMI Co. Ltd.,交學社",如何,2020-08-01,,168
屍速英語：活用30個學過的基本動詞，職場英語嚇嚇叫!,"KAWASEMI Co. Ltd.,交學社",如何,2020-08-01,9,216
用同理心解鎖孩子的情緒：帶你看見孩子的內在需求，讓教養不再卡關,何翩翩,如何,2020-08-01,79,244
用同理心解鎖孩子的情緒：帶你看見孩子的內在需求，讓教養不再卡關 (電子書),何翩翩,如何,2020-08-01,,217
升職加薪必備!職場黑馬簡報術：讓你不再莫名踩地雷，在每個關鍵時刻脫穎而出! (電子書),黑主任,如何,2020-07-01,,250
升職加薪必備!職場黑馬簡報術：讓你不再莫名踩地雷，在每個關鍵時刻脫穎而出!,黑主任,如何,2020-07-01,66,237
蔬食烘焙：全植物性食材也能做馬芬、蛋糕和麵包，再也不擔心過敏、皮膚炎和肥胖問題,朴宣紅,如何,2020-07-01,7,287
蔬食烘焙：全植物性食材也能做馬芬、蛋糕和麵包，再也不擔心過敏、皮膚炎和肥胖問題 (電子書),朴宣紅,如何,2020-07-01,,287
與情緒相伴的新生活提案：11個練習，讓你在憂鬱、焦慮、憤怒、孤單時拿回主動權 (電子書),"劉惠敏,周子勛,葉北辰",如何,2020-06-05,,224
英文單字語源圖鑑2：圖解拆字，輕鬆學、快樂記! (電子書),"すずきひろし,清水建二",如何,2020-06-01,,238
英文單字語源圖鑑2：圖解拆字，輕鬆學、快樂記!,"すずきひろし,清水建二",如何,2020-06-01,9,306
與情緒相伴的新生活提案：11個練習，讓你在憂鬱、焦慮、憤怒、孤單時拿回主動權,"劉惠敏,周子勛,葉北辰",如何,2020-06-01,79,252
平衡免疫這樣吃!：台大醫生教你聰明攝取好油，簡單吃出好體質 (電子書),林曉凌,如何,2020-05-01,,196
平衡免疫這樣吃!：台大醫師教你聰明攝取好油，簡單吃出好體質,林曉凌,如何,2020-05-01,9,252
田安石的碳水循環飲食法：寫給因為生酮、減醣、瘦身而心累的你,田安石,如何,2020-05-01,9,351
田安石的碳水循環飲食法：寫給因為生酮、減醣、瘦身而心累的你 (電子書),田安石,如何,2020-05-01,,273
島與鯨。海洋之子。：《男人與他的海》拍攝紀實 (電子書),黃嘉俊（黑糖導演）,如何,2020-04-01,,273
島與鯨。海洋之子。：《男人與他的海》拍攝紀實,黃嘉俊,如何,2020-04-01,9,351
真實尺寸的古生物圖鑑˙中生代篇【隨書贈侏羅紀長圓頂龍70x50cm全彩珍藏海報】,土屋健,如何,2020-04-01,66,369
基本設計力：簡單卻效果超群的77原則,宇治智子,如何,2020-04-01,9,297
基本設計力：簡單卻效果超群的77原則 (電子書),宇治智子,如何,2020-04-01,,231
至死不渝的高速閱讀法：把知識化為收入的秘密,上岡正明,如何,2020-03-01,9,279
至死不渝的高速閱讀法：把知識化為收入的秘密 (電子書),上岡正明,如何,2020-03-01,,217
對不起，我不是好媽媽：8個練習題，帶你走出育兒焦慮與罪惡感 (電子書),福田智花,如何,2020-02-01,,189
對不起，我不是好媽媽：8個練習題，帶你走出育兒焦慮與罪惡感,福田智花,如何,2020-02-01,9,243
提升表現、預防傷害、減緩疼痛，運動肌內效貼紮 (電子書),"張高華,蔡忠憲,黃安華",如何,2020-01-01,,238
提升表現、預防傷害、減緩疼痛，運動肌內效貼紮,"張高華,楊宛青,蔡忠憲,黃安華",如何,2020-01-01,9,306
1天10分鐘，從零基礎變身韓語通!,趙叡珍,如何,2020-01-01,9,333
1天10分鐘，從零基礎變身韓語通!【隨選即聽趙老師韓語發音】 (電子書),趙叡珍,如何,2020-01-01,,259
打造富腦袋!從零累積被動收入：月收翻倍的財富攻略,Ms.Selena,如何,2019-12-01,79,229
打造富腦袋!從零累積被動收入：月收翻倍的財富攻略 (電子書),Ms.Selena,如何,2019-12-01,,203
零廢棄的美好生活：每月開支省1萬，垃圾越少越富足!,呂加零,如何,2019-11-01,9,252
零廢棄的美好生活：每月開支省1萬，垃圾越少越富足! (電子書),呂加零,如何,2019-11-01,,196
蔡康永的情商課2：因為這是你的人生,蔡康永,如何,2019-10-17,79,276
孩子的人生成長痛，小說有解：用好故事陪孩子走過徬徨時刻 (電子書),羅怡君,如何,2019-10-01,,196
孩子的人生成長痛，小說有解：用好故事陪孩子走過徬徨時刻,羅怡君,如何,2019-10-01,9,252
媽媽，學校都沒有教我「性」：這樣引導孩子保護自己、尊重生命,野島那美,如何,2019-10-01,9,234
勇氣圖鑑：受挫、失敗都是成長的養分,大野正人,如何,2019-09-01,9,288
好心救好肝：肝病權威許金川教授在談笑之中教你正確保肝知識,許金川,如何,2019-08-01,9,252
